,ATL,LAX,ORD,DFW,DEN,JFK,SFO,SEA,MCO,LAS,CLT,EWR,PHX,IAH,MIA,BOS,MSP,DTW,FLL,PHL,LGA,BWI,SLC,SAN,IAD,DCA,TPA,MDW,HNL,PDX,BNA,AUS,DAL,STL,SJC,HOU,RDU,MSY,OAK,SMF,MCI,SNA,RSW,SAT,CLE,IND,PIT,SJU,CVG,CMH
LGA,0.11511264840609517,0.0,0.07194540525380948,0.057556324203047585,0.057556324203047585,0.0,0.0,0.0,0.028778162101523792,0.0,0.043167243152285685,0.0,0.0,0.028778162101523792,0.043167243152285685,0.043167243152285685,0.014389081050761896,0.057556324203047585,0.043167243152285685,0.028778162101523792,0.0,0.0,0.0,0.0,0.014389081050761896,0.043167243152285685,0.028778162101523792,0.028778162101523792,0.0,0.0,0.057556324203047585,0.0,0.0,0.057556324203047585,0.0,0.014389081050761896,0.043167243152285685,0.043167243152285685,0.0,0.0,0.014389081050761896,0.0,0.028778162101523792,0.0,0.028778162101523792,0.014389081050761896,0.043167243152285685,0.0,0.014389081050761896,0.043167243152285685
BWI,0.0865822193138263,0.024737776946807514,0.03710666542021127,0.03710666542021127,0.03710666542021127,0.03710666542021127,0.012368888473403757,0.024737776946807514,0.024737776946807514,0.03710666542021127,0.04947555389361503,0.012368888473403757,0.03710666542021127,0.012368888473403757,0.03710666542021127,0.03710666542021127,0.024737776946807514,0.03710666542021127,0.03710666542021127,0.024737776946807514,0.0,0.0,0.03710666542021127,0.024737776946807514,0.0,0.0,0.024737776946807514,0.024737776946807514,0.0,0.0,0.024737776946807514,0.012368888473403757,0.0,0.024737776946807514,0.0,0.024737776946807514,0.03710666542021127,0.024737776946807514,0.0,0.0,0.024737776946807514,0.0,0.024737776946807514,0.024737776946807514,0.024737776946807514,0.024737776946807514,0.024737776946807514,0.012368888473403757,0.012368888473403757,0.024737776946807514
SLC,0.07195849303543049,0.05996541086285875,0.047972328690286996,0.035979246517715245,0.05996541086285875,0.023986164345143498,0.023986164345143498,0.047972328690286996,0.011993082172571749,0.035979246517715245,0.035979246517715245,0.011993082172571749,0.047972328690286996,0.023986164345143498,0.0,0.011993082172571749,0.011993082172571749,0.011993082172571749,0.0,0.035979246517715245,0.0,0.035979246517715245,0.0,0.023986164345143498,0.0,0.011993082172571749,0.0,0.023986164345143498,0.011993082172571749,0.035979246517715245,0.011993082172571749,0.011993082172571749,0.011993082172571749,0.011993082172571749,0.011993082172571749,0.0,0.011993082172571749,0.023986164345143498,0.023986164345143498,0.011993082172571749,0.011993082172571749,0.011993082172571749,0.0,0.011993082172571749,0.0,0.011993082172571749,0.0,0.0,0.011993082172571749,0.0
SAN,0.0945386556978592,0.059086659811162,0.0472693278489296,0.0472693278489296,0.0472693278489296,0.0709039917733944,0.0354519958866972,0.0472693278489296,0.0236346639244648,0.0354519958866972,0.0236346639244648,0.0118173319622324,0.0472693278489296,0.0118173319622324,0.0236346639244648,0.0354519958866972,0.0354519958866972,0.0236346639244648,0.0,0.0236346639244648,0.0,0.0236346639244648,0.0236346639244648,0.0,0.0118173319622324,0.0236346639244648,0.0,0.0236346639244648,0.0236346639244648,0.0354519958866972,0.0118173319622324,0.0118173319622324,0.0,0.0118173319622324,0.0236346639244648,0.0118173319622324,0.0,0.0236346639244648,0.0118173319622324,0.0236346639244648,0.0118173319622324,0.0,0.0,0.0118173319622324,0.0,0.0,0.0,0.0,0.0,0.0
IAD,0.09975974572309994,0.044337664765822196,0.011084416191455549,0.03325324857436665,0.022168832382911098,0.03325324857436665,0.022168832382911098,0.011084416191455549,0.011084416191455549,0.011084416191455549,0.03325324857436665,0.011084416191455549,0.011084416191455549,0.011084416191455549,0.03325324857436665,0.022168832382911098,0.022168832382911098,0.022168832382911098,0.011084416191455549,0.011084416191455549,0.011084416191455549,0.0,0.0,0.011084416191455549,0.0,0.0,0.011084416191455549,0.022168832382911098,0.011084416191455549,0.011084416191455549,0.011084416191455549,0.011084416191455549,0.0,0.011084416191455549,0.0,0.0,0.011084416191455549,0.03325324857436665,0.0,0.011084416191455549,0.011084416191455549,0.0,0.0,0.011084416191455549,0.011084416191455549,0.011084416191455549,0.011084416191455549,0.011084416191455549,0.011084416191455549,0.011084416191455549
DCA,0.07575208002243619,0.043286902869963534,0.03246517715247265,0.021643451434981767,0.021643451434981767,0.03246517715247265,0.021643451434981767,0.010821725717490883,0.03246517715247265,0.021643451434981767,0.021643451434981767,0.010821725717490883,0.021643451434981767,0.010821725717490883,0.021643451434981767,0.03246517715247265,0.043286902869963534,0.03246517715247265,0.03246517715247265,0.021643451434981767,0.03246517715247265,0.0,0.010821725717490883,0.021643451434981767,0.0,0.0,0.03246517715247265,0.0,0.0,0.021643451434981767,0.021643451434981767,0.010821725717490883,0.0,0.03246517715247265,0.0,0.010821725717490883,0.021643451434981767,0.021643451434981767,0.0,0.0,0.03246517715247265,0.0,0.043286902869963534,0.0,0.010821725717490883,0.021643451434981767,0.021643451434981767,0.010821725717490883,0.03246517715247265,0.021643451434981767
TPA,0.07146583154155371,0.010209404505936243,0.04083761802374497,0.030628213517808728,0.04083761802374497,0.04083761802374497,0.0,0.0,0.0,0.020418809011872485,0.020418809011872485,0.020418809011872485,0.030628213517808728,0.010209404505936243,0.020418809011872485,0.010209404505936243,0.010209404505936243,0.020418809011872485,0.05104702252968121,0.030628213517808728,0.020418809011872485,0.020418809011872485,0.0,0.0,0.020418809011872485,0.030628213517808728,0.0,0.020418809011872485,0.0,0.0,0.020418809011872485,0.010209404505936243,0.0,0.020418809011872485,0.0,0.020418809011872485,0.030628213517808728,0.020418809011872485,0.0,0.0,0.020418809011872485,0.0,0.0,0.020418809011872485,0.010209404505936243,0.030628213517808728,0.020418809011872485,0.020418809011872485,0.010209404505936243,0.020418809011872485
MDW,0.047041226512106196,0.01881649060484248,0.0,0.0,0.028224735907263716,0.0,0.01881649060484248,0.01881649060484248,0.01881649060484248,0.01881649060484248,0.01881649060484248,0.01881649060484248,0.00940824530242124,0.0,0.0,0.01881649060484248,0.03763298120968496,0.028224735907263716,0.00940824530242124,0.01881649060484248,0.01881649060484248,0.01881649060484248,0.01881649060484248,0.00940824530242124,0.01881649060484248,0.0,0.01881649060484248,0.0,0.0,0.01881649060484248,0.01881649060484248,0.01881649060484248,0.0,0.01881649060484248,0.00940824530242124,0.01881649060484248,0.01881649060484248,0.01881649060484248,0.01881649060484248,0.00940824530242124,0.01881649060484248,0.0,0.01881649060484248,0.01881649060484248,0.01881649060484248,0.0,0.01881649060484248,0.0,0.0,0.01881649060484248
HNL,0.00924838739833598,0.06473871178835186,0.00924838739833598,0.01849677479667196,0.00924838739833598,0.00924838739833598,0.0462419369916799,0.0462419369916799,0.0,0.01849677479667196,0.0,0.00924838739833598,0.02774516219500794,0.00924838739833598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00924838739833598,0.01849677479667196,0.00924838739833598,0.0,0.0,0.0,0.0,0.01849677479667196,0.0,0.0,0.0,0.0,0.01849677479667196,0.0,0.0,0.0,0.02774516219500794,0.00924838739833598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDX,0.04576049359633542,0.03660839487706833,0.03660839487706833,0.03660839487706833,0.02745629615780125,0.018304197438534165,0.03660839487706833,0.018304197438534165,0.0,0.02745629615780125,0.018304197438534165,0.009152098719267083,0.04576049359633542,0.009152098719267083,0.0,0.02745629615780125,0.009152098719267083,0.018304197438534165,0.0,0.018304197438534165,0.0,0.0,0.03660839487706833,0.02745629615780125,0.009152098719267083,0.018304197438534165,0.009152098719267083,0.018304197438534165,0.018304197438534165,0.0,0.0,0.0,0.0,0.0,0.02745629615780125,0.0,0.0,0.0,0.02745629615780125,0.018304197438534165,0.018304197438534165,0.018304197438534165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BNA,0.05839113770215948,0.041707955501542486,0.02502477330092549,0.016683182200616996,0.03336636440123399,0.02502477330092549,0.0,0.0,0.02502477330092549,0.008341591100308498,0.016683182200616996,0.02502477330092549,0.008341591100308498,0.008341591100308498,0.016683182200616996,0.008341591100308498,0.008341591100308498,0.016683182200616996,0.008341591100308498,0.02502477330092549,0.03336636440123399,0.016683182200616996,0.008341591100308498,0.008341591100308498,0.008341591100308498,0.016683182200616996,0.008341591100308498,0.016683182200616996,0.0,0.0,0.0,0.008341591100308498,0.0,0.016683182200616996,0.0,0.008341591100308498,0.016683182200616996,0.008341591100308498,0.0,0.0,0.008341591100308498,0.0,0.0,0.008341591100308498,0.016683182200616996,0.0,0.008341591100308498,0.0,0.008341591100308498,0.008341591100308498
AUS,0.055609984107693744,0.039721417219781244,0.023832850331868747,0.023832850331868747,0.023832850331868747,0.031777133775824994,0.023832850331868747,0.007944283443956248,0.031777133775824994,0.023832850331868747,0.015888566887912497,0.015888566887912497,0.023832850331868747,0.007944283443956248,0.0,0.007944283443956248,0.007944283443956248,0.007944283443956248,0.023832850331868747,0.015888566887912497,0.0,0.015888566887912497,0.007944283443956248,0.007944283443956248,0.007944283443956248,0.007944283443956248,0.007944283443956248,0.015888566887912497,0.0,0.0,0.007944283443956248,0.0,0.015888566887912497,0.0,0.007944283443956248,0.015888566887912497,0.0,0.023832850331868747,0.007944283443956248,0.0,0.0,0.0,0.0,0.0,0.007944283443956248,0.0,0.0,0.0,0.0,0.0
DAL,0.03017294568570627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007543236421426567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007543236421426567,0.0,0.015086472842853135,0.0,0.015086472842853135,0.0,0.015086472842853135,0.0,0.0,0.015086472842853135,0.0,0.0,0.015086472842853135,0.0,0.0,0.0,0.0,0.0,0.0
